1	2019-07-11T18:00:59.041502
2	2019-07-11T18:00:59.342354
3	2019-07-11T18:00:59.651900
4	2019-07-11T18:00:59.962562
5	2019-07-11T18:01:00.272162
6	2019-07-11T18:01:00.581487
7	2019-07-11T18:01:00.892344
8	2019-07-11T18:01:01.201975
9	2019-07-11T18:01:01.511328
10	2019-07-11T18:01:01.820725
11	2019-07-11T18:01:02.131596
12	2019-07-11T18:01:02.441070
13	2019-07-11T18:01:02.750440
14	2019-07-11T18:01:03.060004
15	2019-07-11T18:01:03.371081
16	2019-07-11T18:01:03.680377
17	2019-07-11T18:01:03.989732
18	2019-07-11T18:01:04.299311
19	2019-07-11T18:01:04.610357
20	2019-07-11T18:01:04.919682
21	2019-07-11T18:01:05.229116
22	2019-07-11T18:01:05.538675
23	2019-07-11T18:01:05.849585
24	2019-07-11T18:01:06.159108
25	2019-07-11T18:01:06.468415
26	2019-07-11T18:01:06.777919
27	2019-07-11T18:01:07.088707
28	2019-07-11T18:01:07.398259
29	2019-07-11T18:01:07.707750
30	2019-07-11T18:01:08.017124
31	2019-07-11T18:01:08.327933
32	2019-07-11T18:01:08.637414
33	2019-07-11T18:01:08.947031
34	2019-07-11T18:01:09.256508
35	2019-07-11T18:01:09.567135
36	2019-07-11T18:01:09.876617
37	2019-07-11T18:01:10.186149
38	2019-07-11T18:01:10.495575
39	2019-07-11T18:01:10.806477
40	2019-07-11T18:01:11.115889
