index,DataReceived,DataProcessed,DataSaved
1,1562860375.7792718,1562860376.2619917,1562860376.4491603
2,1562860378.6381803,1562860378.7209213,1562860378.894169
3,1562860381.4406579,1562860381.5257754,1562860381.6856356
4,1562860384.306201,1562860384.391267,1562860384.5562456
5,1562860387.1678312,1562860387.27236,1562860387.4304605
6,1562860389.95296,1562860390.0443954,1562860390.216367
7,1562860392.8525722,1562860392.9674513,1562860393.1422057
8,1562860395.6367154,1562860395.7265131,1562860395.8820565
9,1562860398.4631174,1562860398.5560591,1562860398.7138832
10,1562860401.317157,1562860401.414224,1562860401.571477
11,1562860404.1412098,1562860404.2359142,1562860404.4051423
12,1562860407.0176094,1562860407.1033561,1562860407.2741427
