"No.","Time","Source","Destination","Protocol","Length","Info"
"14","5.649918818","192.168.43.148","192.168.43.135","MQTT","108","Connect Command"
"16","5.650355106","192.168.43.135","192.168.43.148","MQTT","70","Connect Ack"
"36","7.925453978","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"38","8.129645282","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"40","8.337408482","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"42","8.545053577","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"44","8.750679921","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"46","8.957712302","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"48","9.172613167","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"50","9.370621639","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"52","9.576035896","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"54","9.788105454","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"56","9.988882277","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"58","10.195949814","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"60","10.403246810","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"62","10.608386503","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"64","10.815364716","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"66","11.022539258","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"68","11.228736682","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"70","11.435131152","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"72","11.641336913","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"74","11.859355619","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"76","12.054799243","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"80","12.271851994","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"82","12.467761992","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"84","12.677445133","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"88","12.882771941","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"90","13.086950222","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"92","13.295475272","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"94","13.500932658","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"96","13.707898609","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"98","13.914245764","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"102","14.120146585","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"104","14.326683900","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"106","14.534321499","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"108","14.739668036","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"110","14.952225903","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"112","15.156406541","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"114","15.361542031","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"116","15.566085107","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"118","15.772622953","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"120","15.979169573","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"122","16.185755667","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"124","16.393139190","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"126","16.598856584","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"128","16.805613857","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"130","17.011699033","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"132","17.218202697","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"136","17.425632891","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"138","17.631493891","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"142","17.836979276","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"144","18.043974866","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"146","18.256311312","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"148","18.457689262","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"150","18.664917789","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"152","18.871741550","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"156","19.078381286","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"158","19.284086148","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"160","19.490039903","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"162","19.697394439","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"164","19.908786436","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"166","20.113383039","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"168","20.318545871","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"170","20.525503700","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"172","20.730396648","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"176","20.937133938","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"178","21.143866124","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"180","21.349896981","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
"182","21.556780588","192.168.43.148","192.168.43.135","MQTT","145","Publish Message [seat/chair1]"
