index,DataReceived,DataProcessed,DataSaved
1,1562858326.2915158,1562858326.7629876,1562858328.5229483
2,1562858346.6613576,1562858346.7557511,1562858348.4281142
3,1562858367.0828135,1562858367.1800494,1562858368.926706
4,1562858387.3570955,1562858387.4564097,1562858389.2154458
5,1562858407.9131527,1562858407.996857,1562858409.812962
6,1562858428.3303242,1562858428.417879,1562858430.1365395
7,1562858447.7486641,1562858447.8294182,1562858449.5578394
8,1562858466.9513493,1562858467.0442708,1562858468.7002573
9,1562858486.0591116,1562858486.1530595,1562858487.75364
10,1562858509.25398,1562858509.353228,1562858510.9846394
11,1562858524.6157398,1562858524.705654,1562858526.294626
12,1562858545.134946,1562858545.2365317,1562858546.92203
