index,DataReceived,DataProcessed,DataSaved
1,1562860859.030036,1562860859.4668443,1562860859.494176
2,1562860859.4948945,1562860859.5657766,1562860859.5976317
3,1562860859.642906,1562860859.7253816,1562860859.7575793
4,1562860859.9512932,1562860860.0322924,1562860860.0663795
5,1562860860.25951,1562860860.3416708,1562860860.3731432
6,1562860860.569534,1562860860.6591501,1562860860.6915705
7,1562860860.882885,1562860860.9486935,1562860860.9851494
8,1562860861.1911423,1562860861.2708075,1562860861.3047867
9,1562860861.5210876,1562860861.59662,1562860861.6263988
10,1562860861.8099108,1562860861.8927035,1562860861.9254966
11,1562860862.1211045,1562860862.2110786,1562860862.2432575
12,1562860862.4283757,1562860862.522537,1562860862.5549014
13,1562860862.7382812,1562860862.824793,1562860862.8532944
14,1562860863.0490544,1562860863.1435273,1562860863.171134
15,1562860863.3575456,1562860863.4418862,1562860863.4692566
16,1562860863.670364,1562860863.7359593,1562860863.7734811
17,1562860863.98245,1562860864.0583465,1562860864.106767
18,1562860864.288084,1562860864.358893,1562860864.3896735
19,1562860864.5946767,1562860864.6810906,1562860864.7128103
20,1562860864.9502654,1562860865.0273917,1562860865.058136
21,1562860865.2137356,1562860865.2884014,1562860865.3213105
22,1562860865.5268207,1562860865.615886,1562860865.6450646
23,1562860865.838417,1562860865.9152246,1562860865.9468596
24,1562860866.1481168,1562860866.2381532,1562860866.2680519
25,1562860866.4563098,1562860866.542694,1562860866.5732782
26,1562860866.7657094,1562860866.8474448,1562860866.8809745
27,1562860867.0745063,1562860867.1660771,1562860867.19842
28,1562860867.3854742,1562860867.4612675,1562860867.4915888
29,1562860867.6950738,1562860867.777127,1562860867.8111763
30,1562860868.0092692,1562860868.089334,1562860868.1250584
31,1562860868.3182087,1562860868.405843,1562860868.4371798
32,1562860868.6254485,1562860868.7020273,1562860868.7334201
33,1562860868.931432,1562860869.0468154,1562860869.0776618
34,1562860869.244028,1562860869.3236291,1562860869.3564
35,1562860869.5547037,1562860869.6516154,1562860869.6843576
36,1562860869.864389,1562860869.9450111,1562860869.97579
37,1562860870.174362,1562860870.2591398,1562860870.296633
38,1562860870.4828722,1562860870.5706732,1562860870.604051
39,1562860870.7947228,1562860870.8771257,1562860870.9096212
40,1562860871.1029084,1562860871.190343,1562860871.2203662
