1	2019-07-11T18:02:35.253415
2	2019-07-11T18:02:35.348290
3	2019-07-11T18:02:35.443868
4	2019-07-11T18:02:35.546602
5	2019-07-11T18:02:35.650578
6	2019-07-11T18:02:35.753338
7	2019-07-11T18:02:35.856100
8	2019-07-11T18:02:35.960157
9	2019-07-11T18:02:36.105258
10	2019-07-11T18:02:36.199331
11	2019-07-11T18:02:36.293247
12	2019-07-11T18:02:36.388455
13	2019-07-11T18:02:36.482502
14	2019-07-11T18:02:36.579094
15	2019-07-11T18:02:36.683088
16	2019-07-11T18:02:36.785823
17	2019-07-11T18:02:36.889981
18	2019-07-11T18:02:36.992719
19	2019-07-11T18:02:37.144328
20	2019-07-11T18:02:37.302159
21	2019-07-11T18:02:37.428689
22	2019-07-11T18:02:37.522741
23	2019-07-11T18:02:37.617967
24	2019-07-11T18:02:37.715696
25	2019-07-11T18:02:37.818306
26	2019-07-11T18:02:37.922449
27	2019-07-11T18:02:38.025106
28	2019-07-11T18:02:38.129160
29	2019-07-11T18:02:38.279816
30	2019-07-11T18:02:38.438565
31	2019-07-11T18:02:38.562990
32	2019-07-11T18:02:38.658213
33	2019-07-11T18:02:38.752293
34	2019-07-11T18:02:38.850900
35	2019-07-11T18:02:38.955033
36	2019-07-11T18:02:39.057548
37	2019-07-11T18:02:39.161615
38	2019-07-11T18:02:39.264546
39	2019-07-11T18:02:39.414149
40	2019-07-11T18:02:39.573842
41	2019-07-11T18:02:39.698591
42	2019-07-11T18:02:39.792593
43	2019-07-11T18:02:39.886588
44	2019-07-11T18:02:39.987378
45	2019-07-11T18:02:40.090118
46	2019-07-11T18:02:40.194142
47	2019-07-11T18:02:40.297001
48	2019-07-11T18:02:40.400855
49	2019-07-11T18:02:40.549653
50	2019-07-11T18:02:40.710585
51	2019-07-11T18:02:40.832853
52	2019-07-11T18:02:40.926795
53	2019-07-11T18:02:41.022236
54	2019-07-11T18:02:41.123771
55	2019-07-11T18:02:41.226538
56	2019-07-11T18:02:41.329383
57	2019-07-11T18:02:41.433266
58	2019-07-11T18:02:41.536296
59	2019-07-11T18:02:41.683897
60	2019-07-11T18:02:41.777821
61	2019-07-11T18:02:41.873302
62	2019-07-11T18:02:41.967274
63	2019-07-11T18:02:42.062603
64	2019-07-11T18:02:42.156444
65	2019-07-11T18:02:42.259299
66	2019-07-11T18:02:42.363030
67	2019-07-11T18:02:42.465777
68	2019-07-11T18:02:42.568546
69	2019-07-11T18:02:42.672652
70	2019-07-11T18:02:42.818203
71	2019-07-11T18:02:42.913475
72	2019-07-11T18:02:43.007401
73	2019-07-11T18:02:43.102713
74	2019-07-11T18:02:43.196673
75	2019-07-11T18:02:43.291955
76	2019-07-11T18:02:43.395486
77	2019-07-11T18:02:43.498256
78	2019-07-11T18:02:43.601051
79	2019-07-11T18:02:43.705299
80	2019-07-11T18:02:43.858453
81	2019-07-11T18:02:44.014495
82	2019-07-11T18:02:44.142954
83	2019-07-11T18:02:44.236899
84	2019-07-11T18:02:44.332179
85	2019-07-11T18:02:44.427961
86	2019-07-11T18:02:44.530778
87	2019-07-11T18:02:44.634743
88	2019-07-11T18:02:44.737476
89	2019-07-11T18:02:44.841978
90	2019-07-11T18:02:44.994077
91	2019-07-11T18:02:45.151080
92	2019-07-11T18:02:45.277273
93	2019-07-11T18:02:45.372398
94	2019-07-11T18:02:45.466350
95	2019-07-11T18:02:45.563225
96	2019-07-11T18:02:45.667210
97	2019-07-11T18:02:45.770000
98	2019-07-11T18:02:45.873979
99	2019-07-11T18:02:45.976719
100	2019-07-11T18:02:46.128250
101	2019-07-11T18:02:46.286212
102	2019-07-11T18:02:46.412769
103	2019-07-11T18:02:46.506728
104	2019-07-11T18:02:46.602048
105	2019-07-11T18:02:46.699783
106	2019-07-11T18:02:46.802564
107	2019-07-11T18:02:46.906525
108	2019-07-11T18:02:47.009301
109	2019-07-11T18:02:47.113250
110	2019-07-11T18:02:47.263838
111	2019-07-11T18:02:47.422749
112	2019-07-11T18:02:47.547002
113	2019-07-11T18:02:47.641071
114	2019-07-11T18:02:47.736348
115	2019-07-11T18:02:47.834938
116	2019-07-11T18:02:47.939153
117	2019-07-11T18:02:48.041900
118	2019-07-11T18:02:48.145823
119	2019-07-11T18:02:48.248746
120	2019-07-11T18:02:48.398142
121	2019-07-11T18:02:48.558147
122	2019-07-11T18:02:48.681520
123	2019-07-11T18:02:48.776729
124	2019-07-11T18:02:48.870724
125	2019-07-11T18:02:48.971591
126	2019-07-11T18:02:49.074317
127	2019-07-11T18:02:49.178324
128	2019-07-11T18:02:49.281110
129	2019-07-11T18:02:49.385261
130	2019-07-11T18:02:49.532509
131	2019-07-11T18:02:49.694610
132	2019-07-11T18:02:49.817068
133	2019-07-11T18:02:49.910969
134	2019-07-11T18:02:50.006302
135	2019-07-11T18:02:50.106814
136	2019-07-11T18:02:50.211109
137	2019-07-11T18:02:50.313574
138	2019-07-11T18:02:50.417559
139	2019-07-11T18:02:50.520381
140	2019-07-11T18:02:50.667968
141	2019-07-11T18:02:50.762003
142	2019-07-11T18:02:50.857188
143	2019-07-11T18:02:50.951241
144	2019-07-11T18:02:51.046435
145	2019-07-11T18:02:51.140553
146	2019-07-11T18:02:51.243416
147	2019-07-11T18:02:51.346051
148	2019-07-11T18:02:51.450102
149	2019-07-11T18:02:51.552812
150	2019-07-11T18:02:51.656827
151	2019-07-11T18:02:51.802371
152	2019-07-11T18:02:51.897550
153	2019-07-11T18:02:51.991713
154	2019-07-11T18:02:52.086797
155	2019-07-11T18:02:52.180868
