1	2019-07-11T17:32:58.194203
2	2019-07-11T17:33:12.374326
3	2019-07-11T17:33:26.559863
4	2019-07-11T17:33:40.745416
5	2019-07-11T17:33:54.930762
6	2019-07-11T17:34:09.139204
7	2019-07-11T17:34:23.302772
8	2019-07-11T17:34:37.487242
9	2019-07-11T17:34:51.684443
10	2019-07-11T17:35:05.855968
11	2019-07-11T17:35:20.040734
