index,DataReceived,DataProcessed,DataSaved
1,1562860589.0713809,1562860589.4839575,1562860589.675699
2,1562860590.951998,1562860591.0312426,1562860591.1743667
3,1562860592.7980425,1562860592.8874032,1562860593.0506194
4,1562860594.6892526,1562860594.768366,1562860594.924439
5,1562860596.6298187,1562860596.7125347,1562860596.8798509
6,1562860598.4738908,1562860598.555422,1562860598.7469778
7,1562860600.3619127,1562860600.4453807,1562860600.6229706
8,1562860602.2838738,1562860602.3709779,1562860602.5472043
9,1562860604.1718962,1562860604.2609787,1562860604.4325724
10,1562860606.0652199,1562860606.1530666,1562860606.328803
11,1562860607.928557,1562860608.00668,1562860608.1750255
12,1562860609.8225322,1562860609.900603,1562860610.0818515
13,1562860611.7387667,1562860611.8199704,1562860611.9994988
14,1562860613.6076372,1562860613.697036,1562860613.8583994
15,1562860615.5078394,1562860615.5957348,1562860615.7534761
16,1562860617.3901215,1562860617.4761567,1562860617.6523383
17,1562860619.356734,1562860619.4350965,1562860619.6173246
18,1562860621.2163453,1562860621.3071592,1562860621.4628289
19,1562860623.1449475,1562860623.2288704,1562860623.4054563
