1	2019-07-11T17:56:29.081541
2	2019-07-11T17:56:30.940660
3	2019-07-11T17:56:32.813585
4	2019-07-11T17:56:34.704674
5	2019-07-11T17:56:36.619588
6	2019-07-11T17:56:38.487133
7	2019-07-11T17:56:40.378248
8	2019-07-11T17:56:42.299764
9	2019-07-11T17:56:44.161012
10	2019-07-11T17:56:46.053413
11	2019-07-11T17:56:47.944568
12	2019-07-11T17:56:49.837765
13	2019-07-11T17:56:51.727175
14	2019-07-11T17:56:53.618330
15	2019-07-11T17:56:55.521761
16	2019-07-11T17:56:57.400806
17	2019-07-11T17:56:59.338988
18	2019-07-11T17:57:01.197178
19	2019-07-11T17:57:03.159745
