index,DataReceived,DataProcessed,DataSaved
1,1562860771.4467573,1562860771.870393,1562860771.903733
2,1562860771.904609,1562860771.9836087,1562860772.017986
3,1562860772.0188985,1562860772.1173394,1562860772.154502
4,1562860772.1553705,1562860772.2404437,1562860772.2741067
5,1562860772.2750008,1562860772.363209,1562860772.3920522
6,1562860772.4785829,1562860772.5603669,1562860772.5900018
7,1562860772.6943433,1562860772.7757652,1562860772.807859
8,1562860772.892346,1562860772.977781,1562860773.007999
9,1562860773.0973568,1562860773.174239,1562860773.2052126
10,1562860773.3091218,1562860773.4053948,1562860773.4366114
11,1562860773.5108132,1562860773.593494,1562860773.625168
12,1562860773.7178183,1562860773.8112726,1562860773.843397
13,1562860773.9256473,1562860774.010866,1562860774.039339
14,1562860774.1304283,1562860774.209892,1562860774.2409744
15,1562860774.3373408,1562860774.424806,1562860774.4572306
16,1562860774.544091,1562860774.6343288,1562860774.664556
17,1562860774.7505085,1562860774.8282764,1562860774.8595061
18,1562860774.956341,1562860775.0454476,1562860775.0773573
19,1562860775.1623406,1562860775.2398098,1562860775.2715914
20,1562860775.3807948,1562860775.4556022,1562860775.4922955
21,1562860775.5758183,1562860775.657937,1562860775.689241
22,1562860775.7929223,1562860775.8793771,1562860775.9104075
23,1562860775.9888656,1562860776.0644908,1562860776.0953965
24,1562860776.1997077,1562860776.2922704,1562860776.322966
25,1562860776.4038012,1562860776.4779208,1562860776.5072439
26,1562860776.6082776,1562860776.6931458,1562860776.72345
27,1562860776.8165367,1562860776.9065862,1562860776.9550788
28,1562860777.02286,1562860777.1048844,1562860777.1369574
29,1562860777.2296824,1562860777.3291876,1562860777.3599348
30,1562860777.4363222,1562860777.509621,1562860777.5396729
31,1562860777.641094,1562860777.721921,1562860777.7513626
32,1562860777.8484733,1562860777.9312181,1562860777.9649606
33,1562860778.0552387,1562860778.177698,1562860778.2096066
34,1562860778.261248,1562860778.3428562,1562860778.3789077
35,1562860778.474544,1562860778.5657089,1562860778.5948002
36,1562860778.6776567,1562860778.752779,1562860778.7846005
37,1562860778.883442,1562860778.9700656,1562860779.0016668
38,1562860779.0874884,1562860779.1616826,1562860779.1922948
39,1562860779.294602,1562860779.3833323,1562860779.4146068
40,1562860779.5010676,1562860779.5797038,1562860779.607819
41,1562860779.7074506,1562860779.795426,1562860779.8286579
42,1562860779.9149835,1562860780.0041494,1562860780.0334027
43,1562860780.1209805,1562860780.2100165,1562860780.2405112
44,1562860780.3272243,1562860780.4190824,1562860780.4504244
45,1562860780.5329278,1562860780.6110828,1562860780.6485279
46,1562860780.7390037,1562860780.8225584,1562860780.8520768
47,1562860780.9466155,1562860781.0371263,1562860781.0667746
48,1562860781.1525016,1562860781.2498484,1562860781.2780082
49,1562860781.3579457,1562860781.444976,1562860781.475006
50,1562860781.565415,1562860781.6597693,1562860781.691778
51,1562860781.7772894,1562860781.863386,1562860781.8977616
52,1562860781.9794657,1562860782.0665216,1562860782.0990148
53,1562860782.1871552,1562860782.275613,1562860782.3058794
54,1562860782.3928194,1562860782.4719863,1562860782.503393
55,1562860782.599245,1562860782.689031,1562860782.723426
56,1562860782.8056855,1562860782.9013853,1562860782.9376397
57,1562860783.0120077,1562860783.0995932,1562860783.1300278
58,1562860783.2189627,1562860783.3071163,1562860783.334233
59,1562860783.430603,1562860783.5109901,1562860783.5467715
60,1562860783.6346135,1562860783.7209988,1562860783.7503307
61,1562860783.8396754,1562860783.9206426,1562860783.9551766
62,1562860784.046504,1562860784.1208606,1562860784.1514723
63,1562860784.2523766,1562860784.3482845,1562860784.384541
64,1562860784.4586823,1562860784.548151,1562860784.578807
65,1562860784.6654317,1562860784.7452054,1562860784.7801461
66,1562860784.8713574,1562860784.9492884,1562860784.9779825
67,1562860785.0776916,1562860785.1653132,1562860785.19704
68,1562860785.2858028,1562860785.3729887,1562860785.4128547
69,1562860785.4916587,1562860785.5837479,1562860785.6159954
