seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3
45124.0,39785.0,19122.0,-162.0,27907.0,19450.0,4861.0
45425.0,39670.0,19276.0,18.0,27643.0,19337.0,4982.0
44973.0,39731.0,19241.0,-150.0,27016.0,19295.0,5051.0
45586.0,39820.0,19258.0,-101.0,26826.0,19309.0,5145.0
45107.0,39787.0,19146.0,-109.0,27208.0,19114.0,4991.0
45529.0,39674.0,19225.0,-85.0,27043.0,19025.0,5044.0
44681.0,40321.0,19134.0,-44.0,28242.0,19089.0,4982.0
44982.0,40073.0,19259.0,-178.0,27720.0,18534.0,5042.0
45072.0,40109.0,19178.0,-146.0,28008.0,18714.0,5001.0
44883.0,40058.0,19262.0,-141.0,27986.0,18557.0,4881.0
