45060.0,40071.0,19188.0,-137.0,27741.0,18490.0,4964.0
44786.0,39908.0,19189.0,-119.0,27612.0,18539.0,4844.0
44881.0,39839.0,19149.0,-149.0,27692.0,18503.0,4867.0
44668.0,39539.0,19150.0,-117.0,27327.0,18315.0,5010.0
44524.0,39373.0,19162.0,-108.0,30294.0,18342.0,4803.0
44893.0,38669.0,19326.0,-47.0,34623.0,18367.0,4133.0
44888.0,38864.0,19257.0,-167.0,34679.0,17983.0,4058.0
44717.0,38534.0,19394.0,-186.0,33864.0,18015.0,4025.0
46033.0,39449.0,19416.0,1135.0,34226.0,19309.0,4387.0
45164.0,38774.0,19396.0,-239.0,32380.0,18331.0,4094.0
