-1590.0,6994.0,2263.0,837.0,2158.0,-591.0,-1202.0
-1627.0,7019.0,2237.0,813.0,2108.0,-610.0,-1170.0
-1631.0,7005.0,2210.0,842.0,2129.0,-639.0,-1171.0
-1571.0,6992.0,2255.0,821.0,2203.0,-673.0,-1167.0
-1609.0,6944.0,2235.0,830.0,2216.0,-639.0,-1134.0
-1647.0,7008.0,2251.0,829.0,2202.0,-649.0,-1175.0
-1655.0,6991.0,2218.0,820.0,2120.0,-656.0,-1203.0
-1660.0,6995.0,2219.0,843.0,2152.0,-627.0,-1177.0
-1652.0,6976.0,2233.0,814.0,2153.0,-614.0,-1172.0
-1662.0,7001.0,2168.0,869.0,2174.0,-622.0,-1194.0
