index,DataSent,DataReceived,DataProcessed,DataSaved,PacketLength
1,1562860771.460817,1562860771.44676,1562860771.87039,1562860771.90373,145
2,1562860771.665126,1562860771.90461,1562860771.98361,1562860772.01799,145
3,1562860771.871856,1562860772.0189,1562860772.11734,1562860772.1545,145
4,1562860772.078498,1562860772.15537,1562860772.24044,1562860772.27411,145
5,1562860772.285293,1562860772.275,1562860772.36321,1562860772.39205,145
6,1562860772.491995,1562860772.47858,1562860772.56037,1562860772.59,145
7,1562860772.698732,1562860772.69434,1562860772.77577,1562860772.80786,145
8,1562860772.9042,1562860772.89235,1562860772.97778,1562860773.008,145
9,1562860773.111125,1562860773.09736,1562860773.17424,1562860773.20521,145
10,1562860773.317733,1562860773.30912,1562860773.40539,1562860773.43661,145
11,1562860773.524455,1562860773.51081,1562860773.59349,1562860773.62517,145
12,1562860773.731218,1562860773.71782,1562860773.81127,1562860773.8434,145
13,1562860773.937946,1562860773.92565,1562860774.01087,1562860774.03934,145
14,1562860774.143373,1562860774.13043,1562860774.20989,1562860774.24097,145
15,1562860774.350377,1562860774.33734,1562860774.42481,1562860774.45723,145
16,1562860774.557094,1562860774.54409,1562860774.63433,1562860774.66456,145
17,1562860774.764121,1562860774.75051,1562860774.82828,1562860774.85951,145
18,1562860774.970668,1562860774.95634,1562860775.04545,1562860775.07736,145
19,1562860775.176171,1562860775.16234,1562860775.23981,1562860775.27159,145
20,1562860775.383061,1562860775.38079,1562860775.4556,1562860775.4923,145
21,1562860775.589899,1562860775.57582,1562860775.65794,1562860775.68924,145
22,1562860775.796592,1562860775.79292,1562860775.87938,1562860775.91041,145
23,1562860776.003243,1562860775.98887,1562860776.06449,1562860776.0954,145
24,1562860776.210322,1562860776.19971,1562860776.29227,1562860776.32297,145
25,1562860776.415505,1562860776.4038,1562860776.47792,1562860776.50724,145
26,1562860776.622288,1562860776.60828,1562860776.69315,1562860776.72345,145
27,1562860776.829201,1562860776.81654,1562860776.90659,1562860776.95508,145
28,1562860777.035971,1562860777.02286,1562860777.10488,1562860777.13696,145
29,1562860777.242555,1562860777.22968,1562860777.32919,1562860777.35993,145
30,1562860777.449302,1562860777.43632,1562860777.50962,1562860777.53967,145
31,1562860777.654886,1562860777.64109,1562860777.72192,1562860777.75136,145
32,1562860777.861567,1562860777.84847,1562860777.93122,1562860777.96496,145
33,1562860778.068288,1562860778.05524,1562860778.1777,1562860778.20961,145
34,1562860778.274996,1562860778.26125,1562860778.34286,1562860778.37891,145
35,1562860778.481824,1562860778.47454,1562860778.56571,1562860778.5948,145
36,1562860778.688509,1562860778.67766,1562860778.75278,1562860778.7846,145
37,1562860778.894015,1562860778.88344,1562860778.97007,1562860779.00167,145
38,1562860779.100829,1562860779.08749,1562860779.16168,1562860779.19229,145
39,1562860779.307556,1562860779.2946,1562860779.38333,1562860779.41461,145
40,1562860779.514222,1562860779.50107,1562860779.5797,1562860779.60782,145
41,1562860779.721014,1562860779.70745,1562860779.79543,1562860779.82866,145
42,1562860779.927753,1562860779.91498,1562860780.00415,1562860780.0334,145
43,1562860780.133256,1562860780.12098,1562860780.21002,1562860780.24051,145
44,1562860780.340053,1562860780.32722,1562860780.41908,1562860780.45042,145
45,1562860780.546704,1562860780.53293,1562860780.61108,1562860780.64853,145
46,1562860780.753441,1562860780.739,1562860780.82256,1562860780.85208,145
47,1562860780.960269,1562860780.94662,1562860781.03713,1562860781.06677,145
48,1562860781.167018,1562860781.1525,1562860781.24985,1562860781.27801,145
49,1562860781.372518,1562860781.35795,1562860781.44498,1562860781.47501,145
50,1562860781.579299,1562860781.56542,1562860781.65977,1562860781.69178,145
51,1562860781.786,1562860781.77729,1562860781.86339,1562860781.89776,145
52,1562860781.992693,1562860781.97947,1562860782.06652,1562860782.09901,145
53,1562860782.199704,1562860782.18716,1562860782.27561,1562860782.30588,145
54,1562860782.406244,1562860782.39282,1562860782.47199,1562860782.50339,145
55,1562860782.612985,1562860782.59925,1562860782.68903,1562860782.72343,145
56,1562860782.818388,1562860782.80569,1562860782.90139,1562860782.93764,145
57,1562860783.025165,1562860783.01201,1562860783.09959,1562860783.13003,145
58,1562860783.231954,1562860783.21896,1562860783.30712,1562860783.33423,145
59,1562860783.438709,1562860783.4306,1562860783.51099,1562860783.54677,145
60,1562860783.645613,1562860783.63461,1562860783.721,1562860783.75033,145
61,1562860783.852179,1562860783.83968,1562860783.92064,1562860783.95518,145
62,1562860784.058994,1562860784.0465,1562860784.12086,1562860784.15147,145
63,1562860784.264398,1562860784.25238,1562860784.34828,1562860784.38454,145
64,1562860784.471236,1562860784.45868,1562860784.54815,1562860784.57881,145
65,1562860784.67795,1562860784.66543,1562860784.74521,1562860784.78015,145
66,1562860784.884708,1562860784.87136,1562860784.94929,1562860784.97798,145
67,1562860785.091423,1562860785.07769,1562860785.16531,1562860785.19704,145
68,1562860785.298175,1562860785.2858,1562860785.37299,1562860785.41285,145
69,1562860785.503685,1562860785.49166,1562860785.58375,1562860785.616,145
