index,DataSent,DataReceived,DataProcessed,DataSaved,PacketLength
1,1562860955.253415,1562860955.24164,1562860955.67061,1562860955.70388,145
2,1562860955.34829,1562860955.70468,1562860955.78039,1562860955.80884,145
3,1562860955.443868,1562860955.8098,1562860955.89033,1562860955.91938,145
4,1562860955.546602,1562860955.92017,1562860956.00747,1562860956.03722,145
5,1562860955.650578,1562860956.03803,1562860956.11726,1562860956.15259,145
6,1562860955.753338,1562860956.15343,1562860956.25096,1562860956.28381,145
7,1562860955.8561,1562860956.28456,1562860956.36574,1562860956.39665,145
8,1562860955.960157,1562860956.39752,1562860956.47935,1562860956.51225,145
9,1562860956.105258,1562860956.51303,1562860956.60046,1562860956.62902,145
10,1562860956.199331,1562860956.62992,1562860956.72201,1562860956.75469,145
11,1562860956.293247,1562860956.75547,1562860956.83115,1562860956.86657,145
12,1562860956.388455,1562860956.86749,1562860956.93694,1562860956.97088,145
13,1562860956.482502,1562860956.97163,1562860957.05273,1562860957.08324,145
14,1562860956.579094,1562860957.08408,1562860957.1634,1562860957.19481,145
15,1562860956.683088,1562860957.19556,1562860957.27224,1562860957.30486,145
16,1562860956.785823,1562860957.3058,1562860957.38776,1562860957.41938,145
17,1562860956.889981,1562860957.42032,1562860957.50002,1562860957.53337,145
18,1562860956.992719,1562860957.53416,1562860957.61436,1562860957.6449,145
19,1562860957.144328,1562860957.64575,1562860957.72778,1562860957.75742,145
20,1562860957.302159,1562860957.75853,1562860957.85015,1562860957.88136,145
21,1562860957.428689,1562860957.88227,1562860957.95852,1562860957.98717,145
22,1562860957.522741,1562860957.98805,1562860958.06787,1562860958.09976,145
23,1562860957.617967,1562860958.10048,1562860958.18003,1562860958.21206,145
24,1562860957.715696,1562860958.21285,1562860958.2884,1562860958.31725,145
25,1562860957.818306,1562860958.318,1562860958.40478,1562860958.43712,145
26,1562860957.922449,1562860958.43793,1562860958.5253,1562860958.55626,145
27,1562860958.025106,1562860958.55716,1562860958.63987,1562860958.67047,145
28,1562860958.12916,1562860958.67122,1562860958.76074,1562860958.79337,145
29,1562860958.279816,1562860958.79427,1562860958.86771,1562860958.89321,145
30,1562860958.438565,1562860958.89393,1562860958.96551,1562860958.99336,145
31,1562860958.56299,1562860958.99407,1562860959.08484,1562860959.11193,145
32,1562860958.658213,1562860959.11271,1562860959.19717,1562860959.22706,145
33,1562860958.752293,1562860959.22786,1562860959.36428,1562860959.39283,145
34,1562860958.8509,1562860959.39362,1562860959.47171,1562860959.5501,145
35,1562860958.955033,1562860959.55101,1562860959.6254,1562860959.65279,145
36,1562860959.057548,1562860959.6539,1562860959.74773,1562860959.77844,145
37,1562860959.161615,1562860959.77936,1562860959.85785,1562860959.89163,145
38,1562860959.264546,1562860959.89255,1562860959.96728,1562860960.00063,145
39,1562860959.414149,1562860960.00151,1562860960.07921,1562860960.10784,145
40,1562860959.573842,1562860960.10858,1562860960.19903,1562860960.22966,145
41,1562860959.698591,1562860960.23088,1562860960.31476,1562860960.34906,145
42,1562860959.792593,1562860960.35001,1562860960.43336,1562860960.46066,145
43,1562860959.886588,1562860960.46159,1562860960.55047,1562860960.57918,145
44,1562860959.987378,1562860960.58008,1562860960.66556,1562860960.69497,145
45,1562860960.090118,1562860960.69604,1562860960.77507,1562860960.807,145
46,1562860960.194142,1562860960.80777,1562860960.89446,1562860960.92405,145
47,1562860960.297001,1562860960.92481,1562860961.00523,1562860961.03947,145
48,1562860960.400855,1562860961.04031,1562860961.12036,1562860961.15126,145
49,1562860960.549653,1562860961.15202,1562860961.23658,1562860961.26814,145
50,1562860960.710585,1562860961.26904,1562860961.34821,1562860961.38209,145
51,1562860960.832853,1562860961.38298,1562860961.46868,1562860961.50118,145
52,1562860960.926795,1562860961.50188,1562860961.58495,1562860961.6214,145
53,1562860961.022236,1562860961.62266,1562860961.69387,1562860961.7322,145
54,1562860961.123771,1562860961.73308,1562860961.81041,1562860961.84734,145
55,1562860961.226538,1562860961.84809,1562860961.93248,1562860961.96704,145
56,1562860961.329383,1562860961.96798,1562860962.04821,1562860962.08081,145
57,1562860961.433266,1562860962.08156,1562860962.16089,1562860962.19239,145
58,1562860961.536296,1562860962.19322,1562860962.27431,1562860962.30375,145
59,1562860961.683897,1562860962.30459,1562860962.39032,1562860962.42382,145
60,1562860961.777821,1562860962.42465,1562860962.51091,1562860962.54521,145
61,1562860961.873302,1562860962.54603,1562860962.63147,1562860962.66417,145
62,1562860961.967274,1562860962.66514,1562860962.75389,1562860962.78422,145
63,1562860962.062603,1562860962.78512,1562860962.86495,1562860962.89523,145
64,1562860962.156444,1562860962.89603,1562860962.97617,1562860963.00778,145
65,1562860962.259299,1562860963.00853,1562860963.08193,1562860963.11097,145
66,1562860962.36303,1562860963.11175,1562860963.19636,1562860963.2323,145
67,1562860962.465777,1562860963.23306,1562860963.3161,1562860963.34871,145
68,1562860962.568546,1562860963.34957,1562860963.42874,1562860963.46305,145
69,1562860962.672652,1562860963.4638,1562860963.55861,1562860963.5947,145
70,1562860962.818203,1562860963.59551,1562860963.67409,1562860963.70874,145
71,1562860962.913475,1562860963.70969,1562860963.78391,1562860963.81473,145
72,1562860963.007401,1562860963.816,1562860963.89891,1562860963.92857,145
73,1562860963.102713,1562860963.92951,1562860964.0148,1562860964.04655,145
74,1562860963.196673,1562860964.04736,1562860964.12178,1562860964.15753,145
75,1562860963.291955,1562860964.15829,1562860964.24103,1562860964.27389,145
76,1562860963.395486,1562860964.27478,1562860964.36326,1562860964.39219,145
77,1562860963.498256,1562860964.3931,1562860964.47986,1562860964.50912,145
78,1562860963.601051,1562860964.50989,1562860964.5855,1562860964.62218,145
79,1562860963.705299,1562860964.62329,1562860964.70722,1562860964.73783,145
80,1562860963.858453,1562860964.73874,1562860964.8216,1562860964.8494,145
81,1562860964.014495,1562860964.8502,1562860964.94104,1562860964.97539,145
82,1562860964.142954,1562860964.97643,1562860965.04893,1562860965.077,145
83,1562860964.236899,1562860965.07794,1562860965.16957,1562860965.2011,145
84,1562860964.332179,1562860965.20192,1562860965.27944,1562860965.31065,145
85,1562860964.427961,1562860965.3114,1562860965.39495,1562860965.42621,145
86,1562860964.530778,1562860965.4271,1562860965.50786,1562860965.54036,145
87,1562860964.634743,1562860965.54116,1562860965.6305,1562860965.66223,145
88,1562860964.737476,1562860965.66301,1562860965.75125,1562860965.78754,145
89,1562860964.841978,1562860965.78829,1562860965.87727,1562860965.90405,145
90,1562860964.994077,1562860965.90491,1562860965.98762,1562860966.01796,145
91,1562860965.15108,1562860966.01884,1562860966.09503,1562860966.1252,145
92,1562860965.277273,1562860966.12613,1562860966.2074,1562860966.24039,145
93,1562860965.372398,1562860966.24141,1562860966.32375,1562860966.36025,145
94,1562860965.46635,1562860966.36158,1562860966.44056,1562860966.47755,145
95,1562860965.563225,1562860966.47861,1562860966.55686,1562860966.5954,145
96,1562860965.66721,1562860966.59613,1562860966.68023,1562860966.70943,145
97,1562860965.77,1562860966.71023,1562860966.79091,1562860966.82291,145
98,1562860965.873979,1562860966.82386,1562860966.9062,1562860966.93672,145
99,1562860965.976719,1562860966.93762,1562860967.02406,1562860967.05332,145
100,1562860966.12825,1562860967.05422,1562860967.13945,1562860967.1736,145
101,1562860966.286212,1562860967.17451,1562860967.26932,1562860967.30456,145
102,1562860966.412769,1562860967.30535,1562860967.38894,1562860967.42379,145
103,1562860966.506728,1562860967.42457,1562860967.50174,1562860967.5308,145
104,1562860966.602048,1562860967.53159,1562860967.61314,1562860967.64302,145
105,1562860966.699783,1562860967.64397,1562860967.72887,1562860967.76196,145
106,1562860966.802564,1562860967.7628,1562860967.84546,1562860967.87639,145
107,1562860966.906525,1562860967.8773,1562860967.95924,1562860967.98922,145
108,1562860967.009301,1562860967.99002,1562860968.0647,1562860968.09638,145
109,1562860967.11325,1562860968.09712,1562860968.18678,1562860968.21561,145
110,1562860967.263838,1562860968.21645,1562860968.30048,1562860968.33133,145
111,1562860967.422749,1562860968.33222,1562860968.4271,1562860968.45645,145
112,1562860967.547002,1562860968.45736,1562860968.54356,1562860968.57035,145
113,1562860967.641071,1562860968.57117,1562860968.64429,1562860968.6768,145
114,1562860967.736348,1562860968.6776,1562860968.75678,1562860968.79086,145
115,1562860967.834938,1562860968.79167,1562860968.87546,1562860968.90912,145
116,1562860967.939153,1562860968.91007,1562860968.99484,1562860969.02538,145
117,1562860968.0419,1562860969.02617,1562860969.10256,1562860969.13322,145
118,1562860968.145823,1562860969.13411,1562860969.2231,1562860969.25207,145
119,1562860968.248746,1562860969.25291,1562860969.32759,1562860969.35911,145
120,1562860968.398142,1562860969.35986,1562860969.44697,1562860969.47686,145
121,1562860968.558147,1562860969.47759,1562860969.56459,1562860969.59284,145
122,1562860968.68152,1562860969.59392,1562860969.67064,1562860969.70247,145
123,1562860968.776729,1562860969.70323,1562860969.7768,1562860969.80614,145
124,1562860968.870724,1562860969.80692,1562860969.88656,1562860969.91729,145
125,1562860968.971591,1562860969.91806,1562860969.9941,1562860970.0298,145
126,1562860969.074317,1562860970.03052,1562860970.12024,1562860970.14936,145
127,1562860969.178324,1562860970.15015,1562860970.22516,1562860970.25415,145
128,1562860969.28111,1562860970.25503,1562860970.33914,1562860970.36874,145
129,1562860969.385261,1562860970.36958,1562860970.44691,1562860970.47667,145
130,1562860969.532509,1562860970.4775,1562860970.56339,1562860970.59199,145
131,1562860969.69461,1562860970.59319,1562860970.68441,1562860970.71688,145
132,1562860969.817068,1562860970.71785,1562860970.80227,1562860970.83351,145
133,1562860969.910969,1562860970.83427,1562860970.91123,1562860970.94044,145
134,1562860970.006302,1562860970.94135,1562860971.03168,1562860971.06312,145
135,1562860970.106814,1562860971.06407,1562860971.14372,1562860971.16999,145
136,1562860970.211109,1562860971.17075,1562860971.25021,1562860971.27701,145
137,1562860970.313574,1562860971.27781,1562860971.35918,1562860971.3937,145
138,1562860970.417559,1562860971.3946,1562860971.4631,1562860971.49638,145
139,1562860970.520381,1562860971.4973,1562860971.57442,1562860971.60375,145
140,1562860970.667968,1562860971.60454,1562860971.68737,1562860971.71995,145
141,1562860970.762003,1562860971.72079,1562860971.80176,1562860971.8379,145
142,1562860970.857188,1562860971.83872,1562860971.9144,1562860971.94454,145
143,1562860970.951241,1562860971.94526,1562860972.02462,1562860972.05662,145
144,1562860971.046435,1562860972.05734,1562860972.14089,1562860972.17057,145
145,1562860971.140553,1562860972.17145,1562860972.24305,1562860972.27339,145
146,1562860971.243416,1562860972.27426,1562860972.35011,1562860972.37987,145
147,1562860971.346051,1562860972.38085,1562860972.4622,1562860972.49322,145
148,1562860971.450102,1562860972.49397,1562860972.57921,1562860972.61582,145
149,1562860971.552812,1562860972.61688,1562860972.69928,1562860972.7295,145
150,1562860971.656827,1562860972.73029,1562860972.80801,1562860972.84283,145
151,1562860971.802371,1562860972.84372,1562860972.91701,1562860972.9491,145
152,1562860971.89755,1562860972.94981,1562860973.03062,1562860973.06261,145
153,1562860971.991713,1562860973.0634,1562860973.1312,1562860973.15842,145
154,1562860972.086797,1562860973.15955,1562860973.23779,1562860973.27088,145
155,1562860972.180868,1562860973.2717,1562860973.34231,1562860973.37575,145
