index,DataSent,DataReceived,DataProcessed,DataSaved,PacketLength
1,1562860143.317992,1562860143.29805,1562860143.83098,1562860144.23001,1106
2,1562860148.997349,1562860148.97667,1562860149.06782,1562860149.39843,1106
3,1562860154.666509,1562860154.64536,1562860154.74028,1562860155.0494,1106
4,1562860160.34045,1562860160.31977,1562860160.41882,1562860160.74711,1106
5,1562860166.015452,1562860165.99493,1562860166.0815,1562860166.3945,1106
6,1562860171.6952,1562860171.67499,1562860171.76646,1562860172.08047,1106
7,1562860177.365741,1562860177.34512,1562860177.44553,1562860177.76536,1106
8,1562860183.041278,1562860183.02089,1562860183.11537,1562860183.44537,1090
9,1562860188.716558,1562860188.69727,1562860188.76986,1562860189.15438,1090
10,1562860194.396377,1562860194.37629,1562860194.46721,1562860194.77973,1090
11,1562860200.071515,1562860200.05031,1562860200.14696,1562860200.45833,1090
