index,DataSent,DataReceived,DataProcessed,DataSaved,PacketLength
1,2019-07-11T17:42:58.294467,1562859778.31679,1562859778.80201,1562859779.69688,1146
2,2019-07-11T17:43:07.898472,1562859787.88228,1562859787.9844,1562859788.87235,1098
3,2019-07-11T17:43:17.399120,1562859797.38442,1562859797.48158,1562859798.35821,1098
4,2019-07-11T17:43:26.899727,1562859806.88494,1562859806.98032,1562859807.85089,1066
5,2019-07-11T17:43:36.400575,1562859816.38969,1562859816.48546,1562859817.27849,1098
6,2019-07-11T17:43:46.623399,1562859826.63449,1562859826.73261,1562859828.05863,1354
7,2019-07-11T17:43:56.951090,1562859836.93595,1562859837.03415,1562859837.88024,1386
8,2019-07-11T17:44:07.278657,1562859847.26383,1562859847.36129,1562859848.21532,1388
9,2019-07-11T17:44:17.502179,1562859857.51245,1562859857.60777,1562859858.53893,1386
10,2019-07-11T17:44:27.623330,1562859867.60963,1562859867.71228,1562859868.50321,1306
