seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3
35109.0,42745.0,21727.0,1117.0,15336.0,-1321.0,17836.0
36551.0,41740.0,21357.0,1228.0,15096.0,-1406.0,18050.0
36043.0,41966.0,21503.0,1214.0,15003.0,-1354.0,17779.0
37162.0,41473.0,21537.0,1041.0,14938.0,-1387.0,17426.0
36480.0,41504.0,21672.0,772.0,14531.0,-1824.0,17500.0
34359.0,40585.0,22234.0,1130.0,14696.0,-1383.0,17538.0
33684.0,43434.0,23071.0,1339.0,14654.0,-1281.0,17295.0
32985.0,46611.0,23986.0,1133.0,14379.0,-1414.0,17367.0
34087.0,46091.0,23345.0,1195.0,14214.0,-1528.0,17423.0
34271.0,44991.0,23077.0,1104.0,14083.0,-1497.0,17520.0
