seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3
33373.0,44260.0,21865.0,1126.0,19522.0,-1246.0,18196.0
33578.0,47397.0,22593.0,1111.0,19235.0,-1275.0,18746.0
31593.0,52346.0,24899.0,1115.0,18713.0,-1298.0,18278.0
30137.0,53082.0,24765.0,1169.0,18603.0,-1252.0,17947.0
29840.0,51595.0,24365.0,1167.0,18527.0,-1210.0,17939.0
29395.0,50890.0,23830.0,1106.0,18269.0,-1282.0,18024.0
33893.0,45528.0,23005.0,1170.0,18175.0,-1216.0,17459.0
35892.0,43111.0,21738.0,1189.0,17514.0,-1299.0,17712.0
36564.0,41297.0,21490.0,1074.0,17015.0,-1291.0,18081.0
34195.0,41647.0,21603.0,1158.0,16863.0,-1196.0,17962.0
