seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3
22856.0,31272.0,16915.0,-390.0,31466.0,15056.0,3513.0
22461.0,31615.0,16796.0,-372.0,31236.0,14959.0,3648.0
25377.0,29894.0,20321.0,-468.0,31653.0,13164.0,2604.0
20972.0,28284.0,18786.0,-360.0,36116.0,13827.0,1733.0
22320.0,27733.0,18712.0,-267.0,35317.0,13034.0,1331.0
24260.0,29891.0,21868.0,-361.0,34219.0,12804.0,898.0
22531.0,29280.0,19975.0,-251.0,34371.0,14266.0,822.0
22193.0,30275.0,16997.0,-275.0,34504.0,13714.0,927.0
21940.0,30210.0,17020.0,-290.0,33538.0,13901.0,972.0
21325.0,30732.0,16960.0,-260.0,34837.0,14547.0,912.0
