index,DataSent,DataReceived,DataProcessed,DataSaved,PacketLenght
1,2019-07-11T18:00:59.041502,1562860859.03004,1562860859.46684,1562860859.49418,145
2,2019-07-11T18:00:59.342354,1562860859.49489,1562860859.56578,1562860859.59763,145
3,2019-07-11T18:00:59.651900,1562860859.64291,1562860859.72538,1562860859.75758,145
4,2019-07-11T18:00:59.962562,1562860859.95129,1562860860.03229,1562860860.06638,145
5,2019-07-11T18:01:00.272162,1562860860.25951,1562860860.34167,1562860860.37314,145
6,2019-07-11T18:01:00.581487,1562860860.56953,1562860860.65915,1562860860.69157,145
7,2019-07-11T18:01:00.892344,1562860860.88289,1562860860.94869,1562860860.98515,145
8,2019-07-11T18:01:01.201975,1562860861.19114,1562860861.27081,1562860861.30479,145
9,2019-07-11T18:01:01.511328,1562860861.52109,1562860861.59662,1562860861.6264,145
10,2019-07-11T18:01:01.820725,1562860861.80991,1562860861.8927,1562860861.9255,145
11,2019-07-11T18:01:02.131596,1562860862.1211,1562860862.21108,1562860862.24326,145
12,2019-07-11T18:01:02.441070,1562860862.42838,1562860862.52254,1562860862.5549,145
13,2019-07-11T18:01:02.750440,1562860862.73828,1562860862.82479,1562860862.85329,145
14,2019-07-11T18:01:03.060004,1562860863.04905,1562860863.14353,1562860863.17113,145
15,2019-07-11T18:01:03.371081,1562860863.35755,1562860863.44189,1562860863.46926,145
16,2019-07-11T18:01:03.680377,1562860863.67036,1562860863.73596,1562860863.77348,145
17,2019-07-11T18:01:03.989732,1562860863.98245,1562860864.05835,1562860864.10677,145
18,2019-07-11T18:01:04.299311,1562860864.28808,1562860864.35889,1562860864.38967,145
19,2019-07-11T18:01:04.610357,1562860864.59468,1562860864.68109,1562860864.71281,145
20,2019-07-11T18:01:04.919682,1562860864.95027,1562860865.02739,1562860865.05814,145
21,2019-07-11T18:01:05.229116,1562860865.21374,1562860865.2884,1562860865.32131,145
22,2019-07-11T18:01:05.538675,1562860865.52682,1562860865.61589,1562860865.64506,145
23,2019-07-11T18:01:05.849585,1562860865.83842,1562860865.91522,1562860865.94686,145
24,2019-07-11T18:01:06.159108,1562860866.14812,1562860866.23815,1562860866.26805,145
25,2019-07-11T18:01:06.468415,1562860866.45631,1562860866.54269,1562860866.57328,145
26,2019-07-11T18:01:06.777919,1562860866.76571,1562860866.84744,1562860866.88097,145
27,2019-07-11T18:01:07.088707,1562860867.07451,1562860867.16608,1562860867.19842,145
28,2019-07-11T18:01:07.398259,1562860867.38547,1562860867.46127,1562860867.49159,145
29,2019-07-11T18:01:07.707750,1562860867.69507,1562860867.77713,1562860867.81118,145
30,2019-07-11T18:01:08.017124,1562860868.00927,1562860868.08933,1562860868.12506,145
31,2019-07-11T18:01:08.327933,1562860868.31821,1562860868.40584,1562860868.43718,145
32,2019-07-11T18:01:08.637414,1562860868.62545,1562860868.70203,1562860868.73342,145
33,2019-07-11T18:01:08.947031,1562860868.93143,1562860869.04682,1562860869.07766,145
34,2019-07-11T18:01:09.256508,1562860869.24403,1562860869.32363,1562860869.3564,145
35,2019-07-11T18:01:09.567135,1562860869.5547,1562860869.65162,1562860869.68436,145
36,2019-07-11T18:01:09.876617,1562860869.86439,1562860869.94501,1562860869.97579,145
37,2019-07-11T18:01:10.186149,1562860870.17436,1562860870.25914,1562860870.29663,145
38,2019-07-11T18:01:10.495575,1562860870.48287,1562860870.57067,1562860870.60405,145
39,2019-07-11T18:01:10.806477,1562860870.79472,1562860870.87713,1562860870.90962,145
40,2019-07-11T18:01:11.115889,1562860871.10291,1562860871.19034,1562860871.22037,145
