index,DataSent,DataReceived,DataProcessed,DataSaved,PacketLength
1,2019-07-11T17:56:34.704674,1562860594.68925,1562860594.76837,1562860594.92444,530
2,2019-07-11T17:56:36.619588,1562860596.62982,1562860596.71253,1562860596.87985,578
3,2019-07-11T17:56:38.487133,1562860598.47389,1562860598.55542,1562860598.74698,578
4,2019-07-11T17:56:40.378248,1562860600.36191,1562860600.44538,1562860600.62297,578
5,2019-07-11T17:56:42.299764,1562860602.28387,1562860602.37098,1562860602.5472,578
6,2019-07-11T17:56:44.161012,1562860604.1719,1562860604.26098,1562860604.43257,578
7,2019-07-11T17:56:46.053413,1562860606.06522,1562860606.15307,1562860606.3288,578
8,2019-07-11T17:56:47.944568,1562860607.92856,1562860608.00668,1562860608.17503,578
9,2019-07-11T17:56:49.837765,1562860609.82253,1562860609.9006,1562860610.08185,578
10,2019-07-11T17:56:51.727175,1562860611.73877,1562860611.81997,1562860611.9995,578
11,2019-07-11T17:56:53.618330,1562860613.60764,1562860613.69704,1562860613.8584,530
12,2019-07-11T17:56:55.521761,1562860615.50784,1562860615.59573,1562860615.75348,578
13,2019-07-11T17:56:57.400806,1562860617.39012,1562860617.47616,1562860617.65234,578
14,2019-07-11T17:56:59.338988,1562860619.35673,1562860619.4351,1562860619.61732,578
15,2019-07-11T17:57:01.197178,1562860621.21635,1562860621.30716,1562860621.46283,578
16,2019-07-11T17:57:03.159745,1562860623.14495,1562860623.22887,1562860623.40546,578
