index,DataReceived,DataProcessed,DataSaved
1,1562860143.2980537,1562860143.8309793,1562860144.2300093
2,1562860148.9766738,1562860149.0678222,1562860149.398425
3,1562860154.6453614,1562860154.7402802,1562860155.0494006
4,1562860160.3197658,1562860160.4188244,1562860160.7471094
5,1562860165.994929,1562860166.0815034,1562860166.3945026
6,1562860171.6749916,1562860171.7664602,1562860172.0804708
7,1562860177.34512,1562860177.4455261,1562860177.7653623
8,1562860183.0208907,1562860183.1153746,1562860183.4453654
9,1562860188.697266,1562860188.7698557,1562860189.1543763
10,1562860194.3762913,1562860194.467212,1562860194.7797318
11,1562860200.0503142,1562860200.1469576,1562860200.4583347
