index,DataReceived,DataProcessed,DataSaved
1,1562859178.1842775,1562859178.6660032,1562859179.588638
2,1562859192.391546,1562859192.485315,1562859193.3410869
3,1562859206.5830204,1562859206.6849701,1562859207.5711277
4,1562859220.7345927,1562859220.837926,1562859221.6725123
5,1562859234.9292188,1562859235.0189106,1562859235.8798258
6,1562859249.1272945,1562859249.2342532,1562859250.0912497
7,1562859263.3374522,1562859263.4347823,1562859264.549124
8,1562859277.4851186,1562859277.5896704,1562859278.450432
9,1562859291.6781635,1562859291.7756846,1562859292.6924162
10,1562859305.845665,1562859305.931804,1562859306.7936287
11,1562859320.0283937,1562859320.1324003,1562859321.082236
