index,DataReceived,DataProcessed,DataSaved
1,1562859976.4756582,1562859976.9476776,1562859977.3075876
2,1562859980.2709205,1562859980.3787694,1562859980.6935062
3,1562859984.0398993,1562859984.12753,1562859984.4591181
4,1562859987.823571,1562859987.9161227,1562859988.2242796
5,1562859991.6293168,1562859991.7305238,1562859991.9945023
6,1562859995.4123027,1562859995.4954112,1562859995.7690544
7,1562859999.2778292,1562859999.3721013,1562859999.724677
8,1562860002.9559186,1562860003.0466654,1562860003.4074094
9,1562860006.8131287,1562860006.9075594,1562860007.2065938
10,1562860010.5315616,1562860010.6312892,1562860010.9719777
11,1562860014.300847,1562860014.3861985,1562860014.7539465
12,1562860018.0839255,1562860018.1894414,1562860018.467821
13,1562860021.888224,1562860021.97089,1562860022.2792087
