index,DataReceived,DataProcessed,DataSaved
1,1562860955.2416418,1562860955.6706092,1562860955.7038777
2,1562860955.704681,1562860955.7803907,1562860955.808836
3,1562860955.8097959,1562860955.890327,1562860955.9193761
4,1562860955.9201741,1562860956.0074716,1562860956.037224
5,1562860956.038026,1562860956.1172588,1562860956.1525884
6,1562860956.153433,1562860956.250963,1562860956.283808
7,1562860956.2845566,1562860956.3657434,1562860956.396649
8,1562860956.3975172,1562860956.479353,1562860956.512247
9,1562860956.5130262,1562860956.600456,1562860956.6290238
10,1562860956.6299214,1562860956.7220092,1562860956.7546895
11,1562860956.7554672,1562860956.8311486,1562860956.8665736
12,1562860956.8674927,1562860956.9369416,1562860956.9708846
13,1562860956.9716272,1562860957.0527287,1562860957.0832386
14,1562860957.0840788,1562860957.1633985,1562860957.1948102
15,1562860957.195559,1562860957.2722402,1562860957.3048623
16,1562860957.3057969,1562860957.3877647,1562860957.4193835
17,1562860957.4203167,1562860957.5000207,1562860957.5333736
18,1562860957.5341556,1562860957.614359,1562860957.6449037
19,1562860957.64575,1562860957.7277806,1562860957.7574184
20,1562860957.7585323,1562860957.8501449,1562860957.8813577
21,1562860957.8822694,1562860957.9585207,1562860957.987174
22,1562860957.9880517,1562860958.0678737,1562860958.0997593
23,1562860958.1004808,1562860958.1800349,1562860958.2120628
24,1562860958.212848,1562860958.2884002,1562860958.3172472
25,1562860958.3180017,1562860958.4047787,1562860958.4371233
26,1562860958.4379272,1562860958.525304,1562860958.5562627
27,1562860958.5571604,1562860958.639872,1562860958.670471
28,1562860958.671218,1562860958.7607439,1562860958.7933688
29,1562860958.7942717,1562860958.8677068,1562860958.8932126
30,1562860958.8939307,1562860958.965505,1562860958.9933608
31,1562860958.9940724,1562860959.0848377,1562860959.111934
32,1562860959.1127067,1562860959.197169,1562860959.2270594
33,1562860959.2278593,1562860959.3642788,1562860959.3928316
34,1562860959.3936167,1562860959.4717135,1562860959.5501006
35,1562860959.5510104,1562860959.6253967,1562860959.6527874
36,1562860959.6538982,1562860959.7477252,1562860959.7784374
37,1562860959.7793562,1562860959.8578537,1562860959.8916287
38,1562860959.892549,1562860959.967283,1562860960.0006313
39,1562860960.0015106,1562860960.0792065,1562860960.1078408
40,1562860960.1085758,1562860960.1990347,1562860960.2296627
41,1562860960.2308753,1562860960.3147566,1562860960.3490572
42,1562860960.3500094,1562860960.433355,1562860960.460663
43,1562860960.4615874,1562860960.5504746,1562860960.579179
44,1562860960.5800796,1562860960.6655612,1562860960.6949725
45,1562860960.6960363,1562860960.7750697,1562860960.8069968
46,1562860960.8077652,1562860960.894464,1562860960.924049
47,1562860960.924812,1562860961.005235,1562860961.0394716
48,1562860961.0403106,1562860961.1203587,1562860961.151259
49,1562860961.1520226,1562860961.2365768,1562860961.268143
50,1562860961.2690427,1562860961.3482075,1562860961.3820927
51,1562860961.382984,1562860961.4686832,1562860961.5011802
52,1562860961.5018756,1562860961.5849516,1562860961.6213999
53,1562860961.622663,1562860961.693871,1562860961.7322
54,1562860961.7330801,1562860961.8104131,1562860961.8473425
55,1562860961.8480902,1562860961.932476,1562860961.9670413
56,1562860961.967984,1562860962.0482087,1562860962.0808089
57,1562860962.0815601,1562860962.1608922,1562860962.1923857
58,1562860962.1932168,1562860962.2743065,1562860962.3037531
59,1562860962.3045907,1562860962.3903148,1562860962.42382
60,1562860962.4246519,1562860962.5109086,1562860962.5452065
61,1562860962.5460253,1562860962.6314678,1562860962.6641726
62,1562860962.665139,1562860962.753892,1562860962.7842236
63,1562860962.7851236,1562860962.864954,1562860962.8952315
64,1562860962.8960311,1562860962.9761662,1562860963.007776
65,1562860963.008531,1562860963.0819304,1562860963.1109664
66,1562860963.1117468,1562860963.196357,1562860963.2323036
67,1562860963.2330637,1562860963.3161044,1562860963.3487134
68,1562860963.3495736,1562860963.4287372,1562860963.4630525
69,1562860963.4637988,1562860963.5586116,1562860963.5947018
70,1562860963.595505,1562860963.6740866,1562860963.7087395
71,1562860963.709692,1562860963.7839084,1562860963.8147323
72,1562860963.8160002,1562860963.8989115,1562860963.9285712
73,1562860963.9295125,1562860964.014803,1562860964.046548
74,1562860964.047362,1562860964.1217756,1562860964.1575258
75,1562860964.158291,1562860964.2410264,1562860964.2738905
76,1562860964.2747808,1562860964.3632605,1562860964.3921878
77,1562860964.3931022,1562860964.4798622,1562860964.50912
78,1562860964.5098917,1562860964.5854974,1562860964.6221828
79,1562860964.6232862,1562860964.707222,1562860964.7378275
80,1562860964.7387395,1562860964.8215988,1562860964.8494005
81,1562860964.8501995,1562860964.9410446,1562860964.9753885
82,1562860964.9764278,1562860965.0489275,1562860965.076999
83,1562860965.0779364,1562860965.1695676,1562860965.2011003
84,1562860965.2019217,1562860965.2794425,1562860965.3106487
85,1562860965.3113987,1562860965.3949542,1562860965.426207
86,1562860965.4270992,1562860965.5078592,1562860965.5403612
87,1562860965.5411644,1562860965.630498,1562860965.662233
88,1562860965.6630085,1562860965.751252,1562860965.7875361
89,1562860965.7882931,1562860965.8772717,1562860965.9040523
90,1562860965.9049113,1562860965.9876168,1562860966.0179563
91,1562860966.0188437,1562860966.0950258,1562860966.1252034
92,1562860966.1261256,1562860966.2073972,1562860966.240389
93,1562860966.2414129,1562860966.323754,1562860966.360245
94,1562860966.3615837,1562860966.4405622,1562860966.4775484
95,1562860966.4786093,1562860966.5568628,1562860966.5953994
96,1562860966.5961347,1562860966.6802263,1562860966.7094283
97,1562860966.710226,1562860966.7909148,1562860966.822913
98,1562860966.8238554,1562860966.906199,1562860966.9367194
99,1562860966.9376178,1562860967.024057,1562860967.053325
100,1562860967.054224,1562860967.1394458,1562860967.1736002
101,1562860967.1745143,1562860967.2693188,1562860967.3045583
102,1562860967.3053482,1562860967.3889406,1562860967.4237914
103,1562860967.4245696,1562860967.5017354,1562860967.5308027
104,1562860967.5315933,1562860967.6131387,1562860967.6430182
105,1562860967.6439655,1562860967.7288718,1562860967.7619588
106,1562860967.762797,1562860967.8454576,1562860967.8763855
107,1562860967.8772998,1562860967.9592369,1562860967.989224
108,1562860967.9900177,1562860968.064703,1562860968.096375
109,1562860968.097122,1562860968.1867821,1562860968.2156053
110,1562860968.2164495,1562860968.3004773,1562860968.3313293
111,1562860968.3322206,1562860968.4271014,1562860968.4564524
112,1562860968.4573607,1562860968.5435557,1562860968.5703464
113,1562860968.571172,1562860968.644292,1562860968.676799
114,1562860968.6775973,1562860968.7567782,1562860968.7908561
115,1562860968.791673,1562860968.87546,1562860968.9091225
116,1562860968.9100704,1562860968.9948359,1562860969.0253797
117,1562860969.0261676,1562860969.1025612,1562860969.1332228
118,1562860969.1341095,1562860969.2231011,1562860969.2520714
119,1562860969.2529123,1562860969.327585,1562860969.3591108
120,1562860969.3598583,1562860969.446972,1562860969.4768598
